EntrezA	EntrezB	Metabolite
5501	5894	M00196
5495	5594	M00196
134510	55781	M00196
1847	8550	M00196
1843	27102	M00196
1852	5610	M00196
5504	415116	M00196
29101	10733	M00196
5536	340156	M00196
5522	5058	M00196
5533	11183	M00196
28227	65125	M00196
22843	8780	M00196
134510	5604	M00196
5499	5127	M00196
5504	816	M00196
142679	6885	M00196
54961	22858	M00196
134510	9748	M00196
1847	1025	M00196
1033	1020	M00196
134510	388228	M00196
1849	25778	M00196
5533	84930	M00196
132160	140609	M00196
23035	57396	M00196
5506	6732	M00196
5504	1455	M00196
1844	6794	M00196
5502	10114	M00196
11266	9578	M00196
54961	8780	M00196
5521	7786	M00196
5494	389840	M00196
5522	23139	M00196
150290	54822	M00196
1849	51347	M00196
7957	225689	M00196
338599	65018	M00196
5535	4296	M00196
150290	27102	M00196
5502	5597	M00196
5521	5604	M00196
5502	6790	M00196
54935	7867	M00196
5537	54861	M00196
5504	208	M00196
79871	9201	M00196
84152	8737	M00196
5500	1019	M00196
11072	10922	M00196
28227	388228	M00196
1845	5579	M00196
338599	10087	M00196
5533	1195	M00196
11266	54986	M00196
9150	112858	M00196
5470	8986	M00196
8493	81629	M00196
5500	166614	M00196
5506	51135	M00196
11266	375449	M00196
54935	140901	M00196
338599	26524	M00196
8446	93	M00196
7957	57787	M00196
5499	5565	M00196
5494	22858	M00196
11101	5598	M00196
92235	23031	M00196
58190	3654	M00196
114971	815	M00196
11266	817	M00196
1844	127933	M00196
58190	120892	M00196
5530	30811	M00196
5521	728642	M00196
5515	2580	M00196
10217	11213	M00196
10217	23012	M00196
5495	6794	M00196
5518	8767	M00196
84152	23031	M00196
128853	7786	M00196
23239	55872	M00196
78986	9833	M00196
5532	5127	M00196
5518	94	M00196
5519	23683	M00196
5496	5058	M00196
1033	30849	M00196
5506	1459	M00196
5537	28996	M00196
7957	6446	M00196
54434	83983	M00196
1846	5576	M00196
10217	657	M00196
1844	27102	M00196
5470	65061	M00196
29101	9263	M00196
1843	22858	M00196
11101	56924	M00196
54961	27330	M00196
5530	9943	M00196
10106	1760	M00196
152926	11213	M00196
5520	10746	M00196
1852	341676	M00196
5534	22983	M00196
5504	6872	M00196
56940	3656	M00196
5496	5871	M00196
63904	3654	M00196
29101	51755	M00196
128853	127933	M00196
85464	1613	M00196
5496	5605	M00196
54961	9128	M00196
5535	55351	M00196
10217	6198	M00196
78986	728642	M00196
5507	94	M00196
84152	23139	M00196
1844	415116	M00196
5500	5567	M00196
5535	10645	M00196
142679	5609	M00196
5519	6197	M00196
5502	3551	M00196
28227	9024	M00196
23239	51422	M00196
5495	1452	M00196
1852	23097	M00196
11221	4214	M00196
1850	388228	M00196
1849	94	M00196
1847	1196	M00196
132160	5613	M00196
5470	57144	M00196
5534	818	M00196
51207	208	M00196
5531	8986	M00196
128853	23235	M00196
54935	54986	M00196
11221	9833	M00196
63904	5170	M00196
9647	1147	M00196
5519	8573	M00196
5494	94	M00196
11266	10645	M00196
5530	5585	M00196
51207	5292	M00196
85464	494551	M00196
5500	9149	M00196
22843	10922	M00196
5504	139728	M00196
5515	11011	M00196
128853	4293	M00196
5502	6787	M00196
92235	5609	M00196
51207	440275	M00196
1843	3654	M00196
5534	5588	M00196
152926	10746	M00196
114971	10746	M00196
5534	23678	M00196
5516	5586	M00196
114971	9344	M00196
78986	94	M00196
5475	3654	M00196
54961	6416	M00196
1850	8986	M00196
63904	23552	M00196
58190	415116	M00196
11072	5575	M00196
23035	8859	M00196
150290	11200	M00196
1848	23678	M00196
79871	225689	M00196
5495	5593	M00196
78986	55781	M00196
5501	51135	M00196
285193	65266	M00196
132160	9113	M00196
54935	25989	M00196
5532	120892	M00196
114971	818	M00196
5494	57172	M00196
51657	8997	M00196
5496	6196	M00196
132160	5581	M00196
1852	10769	M00196
23239	4217	M00196
8446	369	M00196
5536	3551	M00196
5496	5585	M00196
23035	25989	M00196
1846	1453	M00196
54434	9748	M00196
9647	1024	M00196
5534	817	M00196
54935	673	M00196
5500	6416	M00196
10217	8476	M00196
5533	29941	M00196
132160	51265	M00196
5522	5580	M00196
5475	5581	M00196
5501	2962	M00196
7957	9874	M00196
132160	65018	M00196
5534	7444	M00196
5534	30849	M00196
5506	4139	M00196
134510	7273	M00196
5502	701	M00196
5506	10645	M00196
5494	6795	M00196
92235	9088	M00196
5532	79705	M00196
5475	1326	M00196
1850	9748	M00196
9150	202374	M00196
1846	54101	M00196
338599	8986	M00196
23239	10087	M00196
5496	5595	M00196
5534	3656	M00196
1847	5575	M00196
5518	4139	M00196
63904	6795	M00196
5530	9064	M00196
9150	81629	M00196
1850	207	M00196
56940	11200	M00196
5499	5597	M00196
54935	5606	M00196
51657	5606	M00196
1845	415116	M00196
1843	6793	M00196
11101	1613	M00196
114971	814	M00196
29101	93	M00196
1848	4117	M00196
56940	9201	M00196
51657	4214	M00196
5496	5565	M00196
132160	23552	M00196
5470	545	M00196
1850	9113	M00196
128853	9088	M00196
1846	9344	M00196
9150	8428	M00196
8493	120892	M00196
29101	5585	M00196
10217	54861	M00196
1850	140609	M00196
142679	26576	M00196
5531	7273	M00196
285193	57396	M00196
114971	2580	M00196
5504	6733	M00196
10106	23031	M00196
128853	65266	M00196
5475	10733	M00196
5520	1195	M00196
128853	701	M00196
22843	699	M00196
5537	1612	M00196
5515	10087	M00196
1033	8444	M00196
150290	54101	M00196
80895	10769	M00196
10217	1452	M00196
5530	11183	M00196
51207	51701	M00196
338599	6885	M00196
28227	51776	M00196
80895	30811	M00196
152926	1019	M00196
8493	5589	M00196
79871	10769	M00196
78986	9263	M00196
5507	8986	M00196
5534	11213	M00196
285193	10783	M00196
1849	2872	M00196
5520	5576	M00196
1847	817	M00196
5475	10769	M00196
5495	54986	M00196
11266	84930	M00196
5531	1613	M00196
1848	9263	M00196
5519	55561	M00196
128853	65125	M00196
142679	51755	M00196
5534	5601	M00196
5494	11011	M00196
5535	659	M00196
5515	23031	M00196
5494	1456	M00196
11072	30811	M00196
5504	4342	M00196
5499	207	M00196
11101	10595	M00196
5537	5608	M00196
7957	8859	M00196
11221	30811	M00196
285193	5681	M00196
54935	5580	M00196
5494	9448	M00196
134510	65061	M00196
5518	5589	M00196
5523	5581	M00196
56940	25989	M00196
1847	11213	M00196
29101	344387	M00196
150290	22858	M00196
5516	1455	M00196
79871	122011	M00196
5521	5591	M00196
8493	8780	M00196
85464	11329	M00196
134510	5587	M00196
29101	51765	M00196
5537	1022	M00196
9150	10733	M00196
63904	9212	M00196
28227	5588	M00196
152926	8798	M00196
5506	2962	M00196
5515	5573	M00196
63904	283629	M00196
5515	9201	M00196
5519	9149	M00196
5530	440275	M00196
10106	23683	M00196
1846	10110	M00196
79871	1022	M00196
1846	22858	M00196
5504	1017	M00196
22843	55589	M00196
5523	10290	M00196
134510	204851	M00196
5499	57172	M00196
132160	22858	M00196
5495	53904	M00196
5507	85481	M00196
63904	1017	M00196
134510	23031	M00196
28227	11213	M00196
58190	282974	M00196
142679	140803	M00196
5520	8576	M00196
5518	54861	M00196
5534	140469	M00196
5531	9578	M00196
5521	8997	M00196
11266	55351	M00196
11101	6792	M00196
5537	11035	M00196
29101	140803	M00196
5507	65061	M00196
1848	6789	M00196
1844	57787	M00196
10217	83732	M00196
10217	4216	M00196
5534	5894	M00196
58190	7272	M00196
132160	5170	M00196
5533	10733	M00196
84152	6872	M00196
51207	10783	M00196
192111	9020	M00196
8446	10769	M00196
134510	5593	M00196
5504	57118	M00196
85464	1263	M00196
63904	8573	M00196
84152	51347	M00196
5521	50488	M00196
51657	51231	M00196
5495	11213	M00196
5470	9201	M00196
80824	202374	M00196
11266	3656	M00196
84152	5592	M00196
1844	5601	M00196
285193	5586	M00196
5499	51347	M00196
5532	23552	M00196
5532	472	M00196
5530	5596	M00196
22843	7048	M00196
5537	207	M00196
1846	11329	M00196
1843	23683	M00196
5533	2962	M00196
1847	7048	M00196
128853	8408	M00196
1852	545	M00196
8446	10922	M00196
150290	50488	M00196
5532	140803	M00196
9647	5062	M00196
11266	983	M00196
5536	65125	M00196
11221	9212	M00196
78986	22848	M00196
5534	65266	M00196
5506	197259	M00196
5523	25865	M00196
1847	7443	M00196
5532	9578	M00196
7957	816	M00196
5470	8576	M00196
5495	57551	M00196
134510	4215	M00196
338599	30849	M00196
11266	6198	M00196
5475	9175	M00196
5501	5579	M00196
5532	140469	M00196
8493	7204	M00196
1846	11200	M00196
5500	5613	M00196
85464	5127	M00196
23035	10746	M00196
5470	11035	M00196
5532	699	M00196
338599	10290	M00196
5533	51701	M00196
78986	8317	M00196
29101	5566	M00196
5501	197259	M00196
5537	6790	M00196
114971	3984	M00196
5518	9024	M00196
134510	53904	M00196
285193	5595	M00196
5530	7786	M00196
56940	6794	M00196
5515	9064	M00196
80895	25865	M00196
5499	344387	M00196
5533	815	M00196
1852	51265	M00196
1852	30811	M00196
8493	8859	M00196
5515	9113	M00196
22843	2081	M00196
5523	79858	M00196
54434	341676	M00196
5500	197259	M00196
8493	5891	M00196
5523	140901	M00196
5495	84930	M00196
54961	11213	M00196
5523	3654	M00196
23035	7273	M00196
5523	5596	M00196
9647	5586	M00196
11072	79858	M00196
11101	8737	M00196
5536	225689	M00196
5522	6790	M00196
5534	8621	M00196
5535	1020	M00196
11266	5127	M00196
5535	5605	M00196
54434	817	M00196
10106	11113	M00196
5504	5585	M00196
1850	25778	M00196
5500	1760	M00196
5522	10922	M00196
5507	1326	M00196
28227	8491	M00196
54434	120892	M00196
5504	10769	M00196
11221	23604	M00196
192111	65125	M00196
1847	51231	M00196
28227	6195	M00196
5532	5573	M00196
5535	92	M00196
5532	122011	M00196
5536	30849	M00196
5531	4140	M00196
79871	5594	M00196
54961	55589	M00196
54935	6416	M00196
5532	11329	M00196
5537	283629	M00196
5499	8550	M00196
5515	8576	M00196
5499	5218	M00196
152926	9024	M00196
1847	1017	M00196
1844	673	M00196
54935	1196	M00196
5530	8476	M00196
51657	5292	M00196
1852	659	M00196
11266	8558	M00196
56940	5592	M00196
5502	7273	M00196
5506	5595	M00196
1848	5565	M00196
10217	818	M00196
5533	1020	M00196
5521	55351	M00196
1843	51765	M00196
11266	5170	M00196
5535	5604	M00196
5521	10290	M00196
5501	23012	M00196
285193	1019	M00196
54434	5605	M00196
5535	817	M00196
5523	8737	M00196
5535	5573	M00196
10217	10000	M00196
58190	53944	M00196
8493	9891	M00196
5532	284086	M00196
5535	5565	M00196
1033	5583	M00196
5520	6872	M00196
10217	85481	M00196
5501	5607	M00196
142679	5577	M00196
5496	6885	M00196
5506	10494	M00196
5516	613	M00196
132160	5596	M00196
79871	5588	M00196
5533	389840	M00196
1852	5891	M00196
5530	11184	M00196
114971	139728	M00196
5519	8621	M00196
8446	23552	M00196
92235	1457	M00196
5515	6793	M00196
1033	83732	M00196
28227	5593	M00196
8446	225689	M00196
152926	29110	M00196
23239	699	M00196
5475	5891	M00196
150290	6793	M00196
11221	3551	M00196
7957	91	M00196
5531	9149	M00196
5530	1195	M00196
9150	3654	M00196
11221	816	M00196
5536	5894	M00196
79871	55561	M00196
134510	5577	M00196
5515	5604	M00196
5499	79705	M00196
11101	1612	M00196
5515	5608	M00196
5523	5579	M00196
5502	984	M00196
5516	140803	M00196
84152	7443	M00196
5499	282974	M00196
11266	8767	M00196
5507	51231	M00196
5534	84446	M00196
54961	65018	M00196
5523	1019	M00196
152926	25865	M00196
5534	983	M00196
5531	494551	M00196
23035	1111	M00196
5536	85481	M00196
29101	1453	M00196
285193	140901	M00196
128853	9263	M00196
285193	9262	M00196
1033	472	M00196
56940	6733	M00196
5500	51755	M00196
114971	1147	M00196
5515	2011	M00196
5536	659	M00196
5495	5589	M00196
29101	81629	M00196
80824	4215	M00196
84152	9706	M00196
128853	815	M00196
1848	4139	M00196
5516	814	M00196
5501	55561	M00196
5523	51347	M00196
338599	8767	M00196
54434	10114	M00196
58190	54986	M00196
79871	55351	M00196
9647	7786	M00196
1852	6795	M00196
51657	472	M00196
28227	10298	M00196
5530	5128	M00196
5495	5347	M00196
10217	9024	M00196
92235	91754	M00196
5515	4342	M00196
9150	23678	M00196
338599	27102	M00196
10217	9212	M00196
5522	5598	M00196
8493	8444	M00196
1033	27330	M00196
5499	56924	M00196
92235	440275	M00196
5533	65018	M00196
1849	5597	M00196
5494	6794	M00196
56940	340156	M00196
1844	9128	M00196
10217	28996	M00196
134510	1111	M00196
5523	5567	M00196
9150	7048	M00196
1848	658	M00196
5530	55561	M00196
5504	54822	M00196
1852	5347	M00196
79871	94	M00196
9150	3551	M00196
54434	10746	M00196
58190	25778	M00196
5520	8814	M00196
1846	3656	M00196
5495	8899	M00196
84152	8476	M00196
5515	57172	M00196
5522	2962	M00196
152926	4217	M00196
22843	7016	M00196
5502	472	M00196
192111	673	M00196
1850	8767	M00196
142679	10645	M00196
1852	55561	M00196
5507	139728	M00196
152926	5577	M00196
80895	4217	M00196
1852	5597	M00196
28227	7443	M00196
5531	815	M00196
11266	9263	M00196
338599	83983	M00196
152926	4216	M00196
79871	5609	M00196
1846	56924	M00196
85464	10783	M00196
63904	8444	M00196
23239	1454	M00196
84152	494551	M00196
28227	9344	M00196
5518	1453	M00196
22843	375449	M00196
5494	5129	M00196
54935	11329	M00196
5494	55589	M00196
5518	56924	M00196
5518	93	M00196
51207	23097	M00196
79871	9212	M00196
285193	57144	M00196
5518	658	M00196
114971	984	M00196
150290	30849	M00196
79871	9262	M00196
142679	23049	M00196
92235	10494	M00196
11072	5595	M00196
5535	51347	M00196
5523	3551	M00196
51657	51422	M00196
63904	9024	M00196
11266	8550	M00196
5470	197259	M00196
58190	5585	M00196
5501	6416	M00196
5495	5563	M00196
5507	84451	M00196
5523	8798	M00196
150290	127933	M00196
5531	5218	M00196
1844	6446	M00196
5515	53944	M00196
5475	10290	M00196
1850	5587	M00196
338599	5579	M00196
5535	1613	M00196
5535	51135	M00196
9647	5058	M00196
1846	83732	M00196
1852	1196	M00196
5502	55589	M00196
1845	1457	M00196
5515	5568	M00196
5516	983	M00196
132160	5573	M00196
134510	4217	M00196
5531	56924	M00196
92235	11011	M00196
23035	8814	M00196
8493	11040	M00196
5496	3984	M00196
10217	27330	M00196
10106	5588	M00196
51207	1432	M00196
51657	10746	M00196
1033	7273	M00196
114971	5681	M00196
5500	8737	M00196
338599	5567	M00196
51657	51765	M00196
152926	5613	M00196
152926	818	M00196
11101	1454	M00196
10217	2872	M00196
1848	94	M00196
79871	81629	M00196
5531	9263	M00196
5506	8444	M00196
5501	11200	M00196
285193	84254	M00196
5494	10000	M00196
23035	9024	M00196
5520	29941	M00196
5499	57118	M00196
5499	65266	M00196
11266	84446	M00196
92235	9891	M00196
5518	5894	M00196
5500	415116	M00196
5507	5578	M00196
1845	65266	M00196
11072	11183	M00196
5470	8737	M00196
5530	5590	M00196
152926	8621	M00196
23239	25865	M00196
5522	8997	M00196
29101	5563	M00196
5494	120892	M00196
134510	6885	M00196
80895	5681	M00196
1849	4751	M00196
5519	6793	M00196
285193	3654	M00196
92235	57396	M00196
5494	341676	M00196
5531	388228	M00196
5495	9578	M00196
51657	5577	M00196
85464	1432	M00196
5523	6300	M00196
5533	51135	M00196
192111	6789	M00196
5502	283629	M00196
150290	5127	M00196
84152	11011	M00196
152926	65267	M00196
51207	5063	M00196
51207	9201	M00196
285193	225689	M00196
5502	8408	M00196
5533	5598	M00196
1846	166614	M00196
5516	673	M00196
1844	5600	M00196
1849	79705	M00196
142679	55561	M00196
128853	6792	M00196
11221	7444	M00196
5501	5566	M00196
85464	23617	M00196
9647	5562	M00196
1847	140469	M00196
5535	7867	M00196
1846	8999	M00196
79871	3551	M00196
11221	5681	M00196
128853	5613	M00196
142679	51231	M00196
11221	25778	M00196
1849	283629	M00196
5496	5613	M00196
5475	6197	M00196
5475	816	M00196
5500	51701	M00196
5475	90	M00196
1846	10494	M00196
152926	545	M00196
142679	2081	M00196
5504	81629	M00196
28227	2962	M00196
128853	9064	M00196
5533	340156	M00196
78986	5891	M00196
54935	8780	M00196
11221	4215	M00196
7957	90	M00196
114971	3611	M00196
5506	22983	M00196
5520	26750	M00196
5506	84451	M00196
1849	6795	M00196
150290	340156	M00196
1850	8569	M00196
1852	388228	M00196
114971	4217	M00196
5522	984	M00196
1852	1612	M00196
80824	8428	M00196
5500	5593	M00196
5518	10110	M00196
192111	814	M00196
5532	5587	M00196
8446	1024	M00196
63904	5601	M00196
128853	9451	M00196
8493	1760	M00196
5501	25778	M00196
29101	4752	M00196
23239	1459	M00196
5507	5604	M00196
5522	5170	M00196
23035	112858	M00196
56940	22983	M00196
5522	5609	M00196
134510	57118	M00196
5531	4751	M00196
1845	5129	M00196
5534	8536	M00196
56940	23178	M00196
9647	5566	M00196
5520	54822	M00196
29101	9149	M00196
5500	5579	M00196
5534	5600	M00196
9150	55781	M00196
5522	10645	M00196
5470	51347	M00196
29101	65018	M00196
152926	816	M00196
5535	9625	M00196
5519	5568	M00196
5502	93	M00196
128853	9706	M00196
54434	5894	M00196
152926	8550	M00196
63904	4140	M00196
9150	5576	M00196
5518	51776	M00196
5506	814	M00196
5519	91	M00196
5501	7046	M00196
54935	55561	M00196
5500	5129	M00196
10106	8859	M00196
5500	6198	M00196
54935	9641	M00196
192111	10087	M00196
5534	51755	M00196
5506	57172	M00196
54434	1021	M00196
9647	284086	M00196
5519	3984	M00196
78986	5567	M00196
1852	10733	M00196
11072	5596	M00196
58190	54101	M00196
5470	83983	M00196
5534	5563	M00196
10106	1454	M00196
5502	6793	M00196
285193	57172	M00196
8446	5578	M00196
8446	10087	M00196
54434	1457	M00196
114971	10110	M00196
338599	816	M00196
5504	7867	M00196
9150	10595	M00196
23035	4214	M00196
142679	282974	M00196
5494	5347	M00196
58190	6795	M00196
5495	6788	M00196
1850	8408	M00196
5530	208	M00196
85464	139728	M00196
5520	6788	M00196
1847	53944	M00196
28227	6093	M00196
150290	5599	M00196
5534	4139	M00196
11072	1456	M00196
9150	83942	M00196
51657	7443	M00196
5495	55351	M00196
54935	1019	M00196
28227	8997	M00196
1850	225689	M00196
5495	6790	M00196
11266	5588	M00196
8493	1111	M00196
5521	11035	M00196
5533	139728	M00196
134510	6446	M00196
5499	9212	M00196
22843	6795	M00196
8446	7465	M00196
142679	8999	M00196
5504	8986	M00196
5532	6793	M00196
23239	369	M00196
8446	472	M00196
85464	6793	M00196
92235	5603	M00196
8493	657	M00196
54961	10420	M00196
11072	8408	M00196
5506	9891	M00196
134510	81629	M00196
28227	1460	M00196
9647	4293	M00196
5475	10783	M00196
5531	54861	M00196
285193	4296	M00196
56940	5565	M00196
5495	5607	M00196
5515	140469	M00196
1844	26524	M00196
5501	284086	M00196
79871	984	M00196
85464	3984	M00196
5502	11213	M00196
5470	6788	M00196
5516	4117	M00196
5536	57396	M00196
5516	10783	M00196
5507	27347	M00196
8446	51776	M00196
85464	6197	M00196
8493	9625	M00196
5521	84254	M00196
5506	11213	M00196
8446	23617	M00196
5494	9064	M00196
92235	816	M00196
5507	6788	M00196
5495	57787	M00196
5494	2872	M00196
85464	10114	M00196
142679	8780	M00196
5507	9024	M00196
9150	7786	M00196
5494	5602	M00196
29101	817	M00196
142679	1017	M00196
1845	8999	M00196
5532	57118	M00196
1843	51755	M00196
5531	7443	M00196
192111	23387	M00196
23035	6093	M00196
11266	7465	M00196
5500	389840	M00196
5494	6093	M00196
54935	10595	M00196
5537	6795	M00196
11072	9874	M00196
54961	5602	M00196
5536	3654	M00196
1846	6789	M00196
5501	83983	M00196
5533	8476	M00196
8493	983	M00196
1844	65268	M00196
11072	23678	M00196
5495	23012	M00196
7957	5894	M00196
79871	8558	M00196
7957	83942	M00196
28227	5577	M00196
28227	23617	M00196
142679	140901	M00196
5519	5577	M00196
132160	8573	M00196
80895	9088	M00196
1847	6416	M00196
11266	6199	M00196
1844	8573	M00196
11266	5602	M00196
11221	112858	M00196
29101	9578	M00196
5519	51422	M00196
192111	7048	M00196
80824	10922	M00196
5495	10420	M00196
338599	11183	M00196
85464	8997	M00196
23239	85481	M00196
1843	55561	M00196
150290	5562	M00196
5535	5578	M00196
1850	4214	M00196
152926	65018	M00196
1846	7465	M00196
5501	5871	M00196
5516	6790	M00196
5521	57551	M00196
1844	10110	M00196
1033	5891	M00196
84152	5582	M00196
85464	344387	M00196
5495	3551	M00196
58190	283629	M00196
1844	11329	M00196
9647	26576	M00196
5534	5058	M00196
5496	202374	M00196
11072	55781	M00196
78986	545	M00196
5536	5584	M00196
10217	3984	M00196
56940	8767	M00196
150290	657	M00196
128853	1196	M00196
23239	55781	M00196
11266	673	M00196
63904	2580	M00196
51657	10595	M00196
51207	8621	M00196
79871	1613	M00196
54434	8767	M00196
114971	11113	M00196
5519	4139	M00196
114971	5562	M00196
5533	28996	M00196
80895	9024	M00196
80895	23031	M00196
84152	8780	M00196
11221	389840	M00196
1850	11183	M00196
5495	7048	M00196
192111	23604	M00196
79871	5218	M00196
285193	1760	M00196
1846	699	M00196
51657	8899	M00196
9647	5610	M00196
80824	94	M00196
5494	375449	M00196
5494	54861	M00196
285193	5579	M00196
150290	5594	M00196
114971	9024	M00196
5499	472	M00196
1850	27330	M00196
11101	7465	M00196
5535	81788	M00196
5536	1453	M00196
114971	26524	M00196
5516	120892	M00196
5495	1025	M00196
285193	5593	M00196
92235	2011	M00196
5515	5871	M00196
5520	6300	M00196
134510	3551	M00196
54961	25865	M00196
5499	81629	M00196
51657	57172	M00196
5534	8573	M00196
9150	5575	M00196
5501	9201	M00196
54961	140609	M00196
5536	51776	M00196
142679	658	M00196
5521	28996	M00196
5519	65018	M00196
78986	5596	M00196
5470	5894	M00196
132160	30849	M00196
11072	26576	M00196
5536	7204	M00196
134510	57551	M00196
142679	56924	M00196
51207	30811	M00196
80824	9064	M00196
5507	65125	M00196
1843	1455	M00196
5520	23617	M00196
54961	10783	M00196
9647	7465	M00196
11101	1326	M00196
285193	8408	M00196
5534	11329	M00196
63904	94	M00196
5470	10769	M00196
5495	6446	M00196
150290	65018	M00196
5502	389840	M00196
23239	5601	M00196
5536	9024	M00196
54935	9262	M00196
10217	8798	M00196
114971	4296	M00196
5515	10595	M00196
11221	9201	M00196
5496	6795	M00196
28227	1432	M00196
22843	984	M00196
84152	56924	M00196
5499	4216	M00196
22843	1760	M00196
5504	1326	M00196
5530	1017	M00196
9647	11213	M00196
5521	1147	M00196
54935	5601	M00196
11101	27330	M00196
9150	53944	M00196
5531	27347	M00196
51207	613	M00196
1845	5610	M00196
56940	11011	M00196
85464	9262	M00196
5515	6199	M00196
11072	8737	M00196
5502	4294	M00196
1852	6792	M00196
51657	55872	M00196
85464	375449	M00196
5496	440275	M00196
338599	2081	M00196
9150	269	M00196
338599	65267	M00196
5531	5127	M00196
54935	1263	M00196
1847	9088	M00196
92235	5894	M00196
114971	8445	M00196
5501	5610	M00196
5475	4296	M00196
192111	51422	M00196
114971	79858	M00196
9647	3654	M00196
23035	65061	M00196
5534	7867	M00196
11221	673	M00196
150290	5128	M00196
54961	9475	M00196
5495	5567	M00196
23239	4751	M00196
1847	5576	M00196
134510	699	M00196
5533	5584	M00196
11221	91	M00196
63904	9113	M00196
8446	9175	M00196
5519	5596	M00196
5501	57144	M00196
5507	1195	M00196
1843	1612	M00196
1845	3611	M00196
51657	1025	M00196
1847	94	M00196
5536	8550	M00196
11221	50488	M00196
54935	5568	M00196
85464	5566	M00196
63904	140803	M00196
80895	4140	M00196
5507	5595	M00196
5470	4294	M00196
5495	5871	M00196
134510	1024	M00196
11072	5599	M00196
8446	4752	M00196
10217	10420	M00196
11101	5062	M00196
5531	2580	M00196
5506	51231	M00196
51207	50488	M00196
10106	6787	M00196
5475	5871	M00196
85464	613	M00196
5470	9943	M00196
54961	7867	M00196
5536	8569	M00196
80824	9641	M00196
338599	7465	M00196
1852	94	M00196
23035	341676	M00196
5531	6789	M00196
5507	8859	M00196
5520	27330	M00196
5500	4296	M00196
54961	5584	M00196
5523	8780	M00196
5531	5598	M00196
51207	1326	M00196
5470	140469	M00196
5504	54986	M00196
22843	65061	M00196
5507	1453	M00196
28227	5582	M00196
5470	7273	M00196
11101	51701	M00196
29101	6885	M00196
54961	3551	M00196
29101	25865	M00196
128853	10645	M00196
5532	65266	M00196
1033	83983	M00196
128853	8621	M00196
5506	283629	M00196
5537	4342	M00196
5475	5567	M00196
1849	5565	M00196
54961	5593	M00196
10106	673	M00196
5515	8408	M00196
5523	658	M00196
23239	83983	M00196
9150	1018	M00196
5531	10783	M00196
11266	5573	M00196
5521	8999	M00196
85464	816	M00196
5515	51265	M00196
54434	197259	M00196
338599	5058	M00196
51207	10746	M00196
285193	5592	M00196
51207	6197	M00196
9647	4342	M00196
54935	8899	M00196
5495	6733	M00196
63904	5566	M00196
1846	1111	M00196
192111	79858	M00196
11266	11329	M00196
5518	11011	M00196
5470	5608	M00196
1843	9344	M00196
5531	9261	M00196
5495	1022	M00196
5533	818	M00196
54434	673	M00196
1852	5588	M00196
80895	8999	M00196
1843	8444	M00196
22843	120892	M00196
8446	5590	M00196
5520	5605	M00196
84152	30811	M00196
10106	5580	M00196
142679	1460	M00196
5475	5590	M00196
8446	9833	M00196
5532	9475	M00196
5530	65125	M00196
29101	27330	M00196
8493	51231	M00196
80895	6793	M00196
5496	51231	M00196
134510	1760	M00196
5494	5566	M00196
5516	10298	M00196
56940	23678	M00196
5504	1612	M00196
28227	415116	M00196
1852	1195	M00196
150290	6197	M00196
285193	701	M00196
1849	84930	M00196
84152	8999	M00196
22843	1025	M00196
51207	658	M00196
10217	5577	M00196
128853	269	M00196
134510	1020	M00196
1033	388228	M00196
1844	10290	M00196
5499	9344	M00196
5523	1859	M00196
1850	112858	M00196
134510	55872	M00196
5519	9024	M00196
5523	1020	M00196
5531	25989	M00196
5504	10298	M00196
79871	83983	M00196
5520	5565	M00196
5536	204851	M00196
142679	27347	M00196
5531	5589	M00196
23035	11184	M00196
5504	25989	M00196
5504	23552	M00196
54935	8997	M00196
5507	6885	M00196
5502	11113	M00196
29101	11329	M00196
11221	1018	M00196
5522	4342	M00196
192111	225689	M00196
8493	6093	M00196
5501	6788	M00196
1845	6093	M00196
1848	57118	M00196
11221	3656	M00196
79871	5129	M00196
5475	65018	M00196
5515	25778	M00196
11101	9874	M00196
79871	53904	M00196
152926	5573	M00196
10106	8491	M00196
58190	7273	M00196
5518	11200	M00196
54434	23012	M00196
11221	5058	M00196
1847	7444	M00196
5535	9088	M00196
1033	1022	M00196
11101	5610	M00196
285193	5058	M00196
134510	5565	M00196
5495	65268	M00196
1033	8569	M00196
9647	23617	M00196
9647	3551	M00196
79871	57118	M00196
5470	1613	M00196
1033	1021	M00196
10217	5594	M00196
114971	6732	M00196
58190	5218	M00196
152926	5604	M00196
132160	140469	M00196
5535	5600	M00196
9150	5563	M00196
5534	26576	M00196
1847	27347	M00196
5535	6792	M00196
5501	5058	M00196
5495	7046	M00196
28227	5585	M00196
1033	699	M00196
1849	1457	M00196
5536	27102	M00196
8493	1460	M00196
10106	9212	M00196
5506	10420	M00196
5475	282974	M00196
29101	5604	M00196
54434	5583	M00196
142679	341676	M00196
5516	55872	M00196
1850	5894	M00196
1846	81788	M00196
134510	8780	M00196
9150	5601	M00196
23239	5584	M00196
1850	657	M00196
5500	9113	M00196
5500	23387	M00196
80895	140469	M00196
338599	4752	M00196
8493	140609	M00196
9150	658	M00196
10106	5587	M00196
56940	284086	M00196
1843	6794	M00196
1844	2580	M00196
1843	1326	M00196
80824	1460	M00196
8493	53904	M00196
1844	4117	M00196
23035	9175	M00196
5521	7444	M00196
80895	7016	M00196
5494	1455	M00196
10217	8814	M00196
80824	5598	M00196
1844	1022	M00196
51657	53904	M00196
1852	53944	M00196
54961	54861	M00196
5500	1021	M00196
23035	51135	M00196
5534	341676	M00196
